date,team,W/L,eFG%,TOV%,ORB%,FT/FGA,IsRegular,Season
2000-10-31,ATL,0,.407,12.6,22.9,.198,1,2000
2000-10-31,CHH,1,.605,17.6,28,.5,1,2000
2000-10-31,CHI,0,.433,20,17.9,.343,1,2000
2000-10-31,SAC,1,.582,18.1,18.5,.205,1,2000
2000-10-31,DAL,1,.449,15.3,37,.205,1,2000
2000-10-31,MIL,0,.434,17.5,34.7,.253,1,2000
2000-10-31,GSW,1,.43,18,29.8,.354,1,2000
2000-10-31,PHO,0,.429,13.8,21.2,.176,1,2000
2000-10-31,HOU,0,.473,16.4,26.2,.378,1,2000
2000-10-31,MIN,1,.523,14.4,32.5,.159,1,2000
2000-10-31,NJN,0,.382,13.5,22.6,.2,1,2000
2000-10-31,CLE,1,.423,17.1,23.9,.256,1,2000
2000-10-31,NYK,0,.379,21.5,32.6,.271,1,2000
2000-10-31,PHI,1,.598,15,25.8,.333,1,2000
2000-10-31,ORL,1,.468,13.8,18.6,.291,1,2000
2000-10-31,WAS,0,.486,24.6,23.7,.222,1,2000
2000-10-31,POR,0,.424,9.8,29.5,.165,1,2000
2000-10-31,LAL,1,.611,20.8,29.6,.302,1,2000
2000-10-31,SAS,1,.547,18.5,16.1,.438,1,2000
2000-10-31,IND,0,.475,16.5,22,.113,1,2000
2000-10-31,TOR,0,.403,12.3,37,.215,1,2000
2000-10-31,DET,1,.489,10.6,28.2,.14,1,2000
2000-10-31,UTA,1,.535,10.8,25.6,.188,1,2000
2000-10-31,LAC,0,.522,22.2,35.3,.319,1,2000
2000-10-31,VAN,1,.456,9.8,26.9,.133,1,2000
2000-10-31,SEA,0,.429,16.9,27.5,.19,1,2000
2000-11-01,BOS,1,.461,13,23.3,.416,1,2000
2000-11-01,DET,0,.397,19,34,.109,1,2000
2000-11-01,CHH,0,.365,15.4,25.6,.311,1,2000
2000-11-01,WAS,1,.538,21.4,15.4,.385,1,2000
2000-11-01,CLE,1,.465,19.6,41.5,.256,1,2000
2000-11-01,SAC,0,.398,17.9,29.2,.41,1,2000
2000-11-01,LAL,0,.449,12.2,31.1,.266,1,2000
2000-11-01,UTA,1,.53,16.2,21.9,.409,1,2000
2000-11-01,MIA,1,.553,19.4,16.2,.276,1,2000
2000-11-01,ORL,0,.399,24.1,31.9,.203,1,2000
2000-11-01,PHI,1,.5,12.6,41.5,.224,1,2000
2000-11-01,TOR,0,.483,14.6,38.1,.174,1,2000
2000-11-01,SEA,1,.589,21.8,31.3,.241,1,2000
2000-11-01,DEN,0,.483,11.6,22.9,.159,1,2000
2000-11-02,DAL,1,.507,14.3,22.2,.24,1,2000
2000-11-02,IND,0,.493,19.5,33.3,.271,1,2000
2000-11-02,DEN,1,.449,12.8,20.5,.38,1,2000
2000-11-02,GSW,0,.421,12.3,32.7,.179,1,2000
2000-11-02,HOU,1,.587,14.4,25.7,.36,1,2000
2000-11-02,MIL,0,.473,15.6,28.9,.293,1,2000
2000-11-02,LAC,0,.494,18.6,40.5,.165,1,2000
2000-11-02,VAN,1,.443,13.3,38.3,.253,1,2000
2000-11-02,NYK,1,.551,14.4,7.1,.279,1,2000
2000-11-02,ATL,0,.359,16.7,29.2,.167,1,2000
2000-11-02,PHO,1,.549,15.6,31.6,.22,1,2000
2000-11-02,POR,0,.47,25.2,29.4,.303,1,2000
2000-11-02,SAS,1,.494,15.9,32.4,.351,1,2000
2000-11-02,MIN,0,.466,13,31.1,.115,1,2000
2000-11-03,BOS,1,.463,13.9,29.5,.207,1,2000
2000-11-03,TOR,0,.456,17.6,23.7,.241,1,2000
2000-11-03,CHH,1,.45,20.6,31.6,.286,1,2000
2000-11-03,MIA,0,.378,18.1,34.1,.311,1,2000
2000-11-03,CHI,0,.43,19,22.5,.296,1,2000
2000-11-03,NJN,1,.424,12.8,30.4,.316,1,2000
2000-11-03,DET,0,.466,22.4,36.8,.324,1,2000
2000-11-03,SAC,1,.413,14,42.6,.261,1,2000
2000-11-03,ORL,0,.366,16.8,22.6,.198,1,2000
2000-11-03,PHI,1,.386,22.7,30.6,.329,1,2000
2000-11-03,WAS,0,.403,14.1,20.5,.182,1,2000
2000-11-03,NYK,1,.413,12.5,17.1,.24,1,2000
2000-11-04,ATL,0,.477,15.9,47.9,.227,1,2000
2000-11-04,ORL,1,.534,19.9,42.9,.397,1,2000
2000-11-04,CLE,1,.47,23.1,27,.418,1,2000
2000-11-04,BOS,0,.392,18.6,28.6,.419,1,2000
2000-11-04,DAL,0,.533,16.1,30.8,.329,1,2000
2000-11-04,UTA,1,.574,13.6,28.6,.5,1,2000
2000-11-04,DEN,0,.433,17.2,33.3,.341,1,2000
2000-11-04,PHO,1,.513,22,33.3,.333,1,2000
2000-11-04,GSW,0,.443,5.8,35.6,.114,1,2000
2000-11-04,SAS,1,.543,14.7,37.5,.341,1,2000
2000-11-04,IND,1,.459,12.1,21.6,.37,1,2000
2000-11-04,CHI,0,.421,21.5,32.4,.314,1,2000
2000-11-04,LAC,1,.478,20.8,21.6,.176,1,2000
2000-11-04,HOU,0,.375,13.4,22.9,.131,1,2000
2000-11-04,MIA,0,.493,17.5,26.2,.107,1,2000
2000-11-04,PHI,1,.418,10.3,22.7,.315,1,2000
2000-11-04,MIL,1,.463,12.8,28.9,.256,1,2000
2000-11-04,DET,0,.401,16.2,25.6,.284,1,2000
2000-11-04,MIN,1,.506,13.1,26.2,.153,1,2000
2000-11-04,SAC,0,.42,11.6,30.4,.207,1,2000
2000-11-04,NJN,0,.406,11.6,21.1,.275,1,2000
2000-11-04,CHH,1,.487,14,35.9,.316,1,2000
2000-11-04,SEA,0,.427,15.2,26.2,.347,1,2000
2000-11-04,POR,1,.467,18.4,50,.144,1,2000
2000-11-04,TOR,1,.487,15.6,28.9,.364,1,2000
2000-11-04,WAS,0,.466,10,22.2,.172,1,2000
2000-11-04,VAN,0,.447,17.9,16.2,.276,1,2000
2000-11-04,LAL,1,.506,17.1,32.6,.244,1,2000
2000-11-05,LAL,1,.441,8.4,34,.28,1,2000
2000-11-05,LAC,0,.524,9.5,21.6,.207,1,2000
2000-11-05,PHO,1,.513,10.9,34.3,.308,1,2000
2000-11-05,HOU,0,.486,14.2,40,.365,1,2000
2000-11-06,DEN,0,.5,16.6,30,.215,1,2000
2000-11-06,DAL,1,.545,13.5,18.8,.312,1,2000
2000-11-06,ORL,1,.484,13.2,38.8,.202,1,2000
2000-11-06,SEA,0,.489,20.5,39.5,.135,1,2000
2000-11-06,SAC,1,.392,9,25,.169,1,2000
2000-11-06,POR,0,.385,11.6,26.1,.092,1,2000
2000-11-06,UTA,1,.536,20.2,27.6,.329,1,2000
2000-11-06,MIN,0,.469,13.6,19.5,.213,1,2000
2000-11-06,VAN,1,.399,13.1,30.4,.43,1,2000
2000-11-06,ATL,0,.425,19.5,26.7,.238,1,2000
2000-11-07,CHI,0,.36,14.1,31.3,.293,1,2000
2000-11-07,WAS,1,.319,7.8,37.9,.422,1,2000
2000-11-07,HOU,1,.437,20.6,31.6,.31,1,2000
2000-11-07,LAL,0,.448,19.8,18.4,.209,1,2000
2000-11-07,MIL,0,.506,13.6,16.3,.143,1,2000
2000-11-07,NYK,1,.567,14.5,22.9,.122,1,2000
2000-11-07,PHO,1,.53,15,25,.145,1,2000
2000-11-07,SAS,0,.391,19.7,26.8,.256,1,2000
2000-11-07,POR,1,.53,17,25,.108,1,2000
2000-11-07,ATL,0,.387,14.1,32.7,.274,1,2000
2000-11-07,TOR,1,.513,15.9,25,.355,1,2000
2000-11-07,BOS,0,.357,15.6,25.9,.11,1,2000
2000-11-08,DAL,0,.375,15.7,21.2,.131,1,2000
2000-11-08,VAN,1,.506,19,32.4,.299,1,2000
2000-11-08,DEN,1,.473,8.7,37,.239,1,2000
2000-11-08,MIN,0,.5,11.2,36.7,.151,1,2000
2000-11-08,IND,1,.531,12.3,34.1,.272,1,2000
2000-11-08,MIL,0,.457,8.3,34.7,.141,1,2000
2000-11-08,LAC,0,.315,14,35.7,.444,1,2000
2000-11-08,UTA,1,.427,17.2,32.4,.387,1,2000
2000-11-08,MIA,1,.432,12.5,30.4,.21,1,2000
2000-11-08,SEA,0,.493,21.8,23.7,.155,1,2000
2000-11-08,NYK,0,.493,17.2,42.4,.307,1,2000
2000-11-08,CLE,1,.611,19,29,.153,1,2000
2000-11-08,ORL,0,.433,16.7,28.9,.232,1,2000
2000-11-08,CHH,1,.438,16.1,26.7,.438,1,2000
2000-11-08,PHI,1,.5,17.6,26.5,.373,1,2000
2000-11-08,DET,0,.433,18.4,41.7,.191,1,2000
2000-11-08,SAC,1,.542,12.6,17.8,.115,1,2000
2000-11-08,GSW,0,.424,25.6,20,.215,1,2000
2000-11-08,SAS,1,.455,11.9,29.7,.256,1,2000
2000-11-08,LAL,0,.507,18.2,28.9,.053,1,2000
2000-11-08,WAS,0,.465,22,21.4,.282,1,2000
2000-11-08,NJN,1,.533,16.2,9.4,.276,1,2000
2000-11-09,CHH,0,.443,13.3,36.8,.304,1,2000
2000-11-09,SEA,1,.5,9.9,34.2,.275,1,2000
2000-11-09,CHI,1,.433,16.9,46.8,.4,1,2000
2000-11-09,ORL,0,.417,10.6,30.8,.104,1,2000
2000-11-09,HOU,1,.493,21.1,28.6,.265,1,2000
2000-11-09,VAN,0,.493,21.5,21.9,.179,1,2000
2000-11-09,MIN,0,.42,8.6,24.1,.103,1,2000
2000-11-09,PHI,1,.412,19.5,40.5,.412,1,2000
2000-11-09,NJN,0,.467,11.8,22.4,.111,1,2000
2000-11-09,DET,1,.536,12.9,29.7,.214,1,2000
2000-11-09,PHO,1,.432,14.9,33.3,.136,1,2000
2000-11-09,ATL,0,.42,19.3,26.1,.136,1,2000
2000-11-09,POR,1,.545,11,25.7,.282,1,2000
2000-11-09,DEN,0,.467,19.5,37.2,.28,1,2000
2000-11-10,BOS,0,.474,12.2,14.6,.364,1,2000
2000-11-10,NYK,1,.53,14.8,22.7,.181,1,2000
2000-11-10,DAL,1,.407,11.6,26.4,.105,1,2000
2000-11-10,SAS,0,.392,15,30,.145,1,2000
2000-11-10,GSW,0,.451,18.3,39.1,.275,1,2000
2000-11-10,SAC,1,.482,13.3,21.3,.393,1,2000
2000-11-10,LAC,1,.651,20,34.6,.274,1,2000
2000-11-10,ATL,0,.571,17.1,19.2,.371,1,2000
2000-11-10,TOR,1,.583,13.8,37.8,.202,1,2000
2000-11-10,CLE,0,.455,11.3,23.9,.079,1,2000
2000-11-10,UTA,0,.465,14.8,24.3,.181,1,2000
2000-11-10,MIA,1,.515,16.4,21.2,.308,1,2000
2000-11-10,WAS,0,.415,22.2,13.5,.308,1,2000
2000-11-10,IND,1,.409,13.4,23.8,.299,1,2000
2000-11-11,CHI,0,.407,16.2,16.7,.187,1,2000
2000-11-11,TOR,1,.561,14.4,23.7,.203,1,2000
2000-11-11,CLE,1,.438,18.8,25.6,.301,1,2000
2000-11-11,WAS,0,.408,24.3,27.9,.308,1,2000
2000-11-11,IND,1,.481,15.7,29.2,.228,1,2000
2000-11-11,DET,0,.39,14.9,24.1,.198,1,2000
2000-11-11,MIL,0,.493,15.8,28.9,.24,1,2000
2000-11-11,MIN,1,.5,16.1,50,.212,1,2000
2000-11-11,NJN,1,.622,15.2,38.2,.156,1,2000
2000-11-11,SEA,0,.54,28.5,19.4,.365,1,2000
2000-11-11,NYK,1,.447,10.8,20,.187,1,2000
2000-11-11,CHH,0,.355,14.1,31.3,.171,1,2000
2000-11-11,PHI,1,.365,16,28.3,.359,1,2000
2000-11-11,BOS,0,.414,14.7,21.3,.198,1,2000
2000-11-11,PHO,1,.431,19.7,31,.188,1,2000
2000-11-11,MIA,0,.418,18.1,12.8,.288,1,2000
2000-11-11,POR,1,.655,15.3,13,.254,1,2000
2000-11-11,HOU,0,.487,14.3,12.2,.154,1,2000
2000-11-11,SAS,1,.485,17.1,11.1,.409,1,2000
2000-11-11,VAN,0,.39,10.5,18.9,.128,1,2000
2000-11-12,DEN,1,.46,10.9,16.7,.159,1,2000
2000-11-12,LAC,0,.343,14.9,31.4,.233,1,2000
2000-11-12,DET,1,.536,16.7,31,.145,1,2000
2000-11-12,SEA,0,.4,11.4,37.3,.222,1,2000
2000-11-12,GSW,0,.513,25.9,33.3,.213,1,2000
2000-11-12,ORL,1,.463,14.1,26.5,.191,1,2000
2000-11-12,LAL,1,.5,14.8,40,.235,1,2000
2000-11-12,HOU,0,.452,14.1,28.6,.452,1,2000
2000-11-12,SAC,1,.582,14,18.2,.329,1,2000
2000-11-12,DAL,0,.41,9.5,20,.124,1,2000
2000-11-13,LAC,0,.426,18.4,37,.176,1,2000
2000-11-13,DAL,1,.436,10,26.7,.282,1,2000
2000-11-13,NJN,0,.38,13.8,29.8,.229,1,2000
2000-11-13,POR,1,.521,23.3,30.6,.264,1,2000
2000-11-14,ATL,1,.533,17.7,30,.253,1,2000
2000-11-14,POR,0,.514,17.8,36.1,.301,1,2000
2000-11-14,CLE,1,.494,19,31.7,.244,1,2000
2000-11-14,GSW,0,.364,11.7,23.6,.333,1,2000
2000-11-14,HOU,1,.606,16.7,35.5,.338,1,2000
2000-11-14,CHI,0,.42,15.4,36,.102,1,2000
2000-11-14,LAL,1,.599,15.3,39.5,.186,1,2000
2000-11-14,DEN,0,.473,8.9,31.9,.187,1,2000
2000-11-14,MIA,1,.468,14.7,12.2,.205,1,2000
2000-11-14,CHH,0,.381,15.6,27.7,.262,1,2000
2000-11-14,SAC,1,.528,20.2,22.6,.278,1,2000
2000-11-14,ORL,0,.429,19.7,33.3,.119,1,2000
2000-11-14,SAS,1,.445,11.7,25,.159,1,2000
2000-11-14,UTA,0,.422,17.3,27.5,.182,1,2000
2000-11-14,SEA,1,.556,20.2,27.5,.239,1,2000
2000-11-14,NYK,0,.365,17.9,33.3,.153,1,2000
2000-11-15,BOS,1,.571,14.1,35.7,.238,1,2000
2000-11-15,WAS,0,.558,13,22.5,.282,1,2000
2000-11-15,DET,0,.457,20.1,20,.343,1,2000
2000-11-15,IND,1,.435,15,25,.212,1,2000
2000-11-15,LAC,1,.4,13.3,32.7,.118,1,2000
2000-11-15,NYK,0,.4,15,24.4,.125,1,2000
2000-11-15,MIL,1,.528,14,25.6,.127,1,2000
2000-11-15,ATL,0,.428,23.3,34.1,.217,1,2000
2000-11-15,MIN,1,.5,21.1,27,.165,1,2000
2000-11-15,GSW,0,.406,9.9,24.5,.189,1,2000
2000-11-15,NJN,1,.536,17.1,27,.257,1,2000
2000-11-15,MIA,0,.435,14.3,42,.2,1,2000
2000-11-15,PHI,1,.525,13,34.3,.304,1,2000
2000-11-15,CLE,0,.547,20.5,44.1,.213,1,2000
2000-11-15,PHO,1,.53,19.5,32.4,.133,1,2000
2000-11-15,DAL,0,.407,21.4,19.5,.227,1,2000
2000-11-16,DEN,1,.458,17.3,37.1,.319,1,2000
2000-11-16,CHI,0,.386,6.7,22.7,.253,1,2000
2000-11-16,HOU,1,.486,12.1,21.2,.162,1,2000
